Restaurant,url
Rock Road Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d1156779-Reviews-Rock_Road_Seafood_Restaurant-Kuching_Sarawak.html
Hui Sing Hawker Center,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d949091-Reviews-Hui_Sing_Hawker_Center-Kuching_Sarawak.html
Cha Bo,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d12363312-Reviews-Cha_Bo-Kuching_Sarawak.html
5 Foot Way,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d4724692-Reviews-5_Foot_Way-Kuching_Sarawak.html
The Carvery Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d2455340-Reviews-The_Carvery_Restaurant-Kuching_Sarawak.html
Keeper's Ground,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d14980715-Reviews-Keeper_s_Ground-Kuching_Sarawak.html
Sepinang Sari Cafe & Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d4209948-Reviews-Sepinang_Sari_Cafe_Restaurant-Kuching_Sarawak.html
Ken's Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d16821173-Reviews-Ken_s_Kitchen-Kuching_Sarawak.html
John's Place,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d1762684-Reviews-John_s_Place-Kuching_Sarawak.html
Basaga,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d2177061-Reviews-Basaga-Kuching_Sarawak.html
Aladdin Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d6677083-Reviews-Aladdin_Cafe-Kuching_Sarawak.html
Tom's,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d2410588-Reviews-Tom_s-Kuching_Sarawak.html
Kopi O Corner,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d5859190-Reviews-Kopi_O_Corner-Kuching_Sarawak.html
The Kings Curry,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d5863395-Reviews-The_Kings_Curry-Kuching_Sarawak.html
Annie Kolo mee,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d3162752-Reviews-Annie_Kolo_mee-Kuching_Sarawak.html
Magenta Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d3327798-Reviews-Magenta_Restaurant-Kuching_Sarawak.html
My Village Barok,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d817555-Reviews-My_Village_Barok-Kuching_Sarawak.html
Aroma Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d3292306-Reviews-Aroma_Cafe-Kuching_Sarawak.html
KANTIN at The Granary,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d23689943-Reviews-KANTIN_at_The_Granary-Kuching_Sarawak.html
101 Food Center,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d12533773-Reviews-101_Food_Center-Kuching_Sarawak.html
Rojak kucei,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d10030778-Reviews-Rojak_kucei-Kuching_Sarawak.html
Makan Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d23819688-Reviews-Makan_Kitchen-Kuching_Sarawak.html
Beach Sea Food Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d1869809-Reviews-Beach_Sea_Food_Restaurant-Kuching_Sarawak.html
Minoru,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d3860453-Reviews-Minoru-Kuching_Sarawak.html
Maria Kek Lapis,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d10289007-Reviews-Maria_Kek_Lapis-Kuching_Sarawak.html
Cendol MAMI,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d13231179-Reviews-Cendol_MAMI-Kuching_Sarawak.html
Coconut Milk,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d8640286-Reviews-Coconut_Milk-Kuching_Sarawak.html
Old Baazar Cafe / Daniel's Kitchen,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d4509746-Reviews-Old_Baazar_Cafe_Daniel_s_Kitchen-Kuching_Sarawak.html
Bukit Mata Seafood Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d10614811-Reviews-Bukit_Mata_Seafood_Restaurant-Kuching_Sarawak.html
The Container,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d12612291-Reviews-The_Container-Kuching_Sarawak.html
Warong Nusantara,https://www.tripadvisor.com.my/Restaurant_Review-g298309-d7363308-Reviews-Warong_Nusantara-Kuching_Sarawak.html
