Restaurant,url
Positano Risto,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15297795-Reviews-Positano_Risto-Kuala_Lumpur_Wilayah_Persekutuan.html
Healy Mac's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d18962887-Reviews-Healy_Mac_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Signature by the Hill @ The Roof,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d5569773-Reviews-Signature_by_the_Hill_The_Roof-Petaling_Jaya_Petaling_District_Selangor.html
Sri Nirwana Maju Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2484872-Reviews-Sri_Nirwana_Maju_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Naughty Nuri's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7603674-Reviews-Naughty_Nuri_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Barat Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10045807-Reviews-Barat_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Village Roast Duck,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6849249-Reviews-Village_Roast_Duck-Kuala_Lumpur_Wilayah_Persekutuan.html
Out of Africa Restaurant & Kudu Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1117187-Reviews-Out_of_Africa_Restaurant_Kudu_Bar-Petaling_Jaya_Petaling_District_Selangor.html
Oriental Pavillion,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1083052-Reviews-Oriental_Pavillion-Petaling_Jaya_Petaling_District_Selangor.html
The Whisky Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3834170-Reviews-The_Whisky_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Cielo Sky Dining & Lounge,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13550462-Reviews-Cielo_Sky_Dining_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
Table & Apron,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d6737330-Reviews-Table_Apron-Petaling_Jaya_Petaling_District_Selangor.html
Frontera Sol of Mexico,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1197625-Reviews-Frontera_Sol_of_Mexico-Petaling_Jaya_Petaling_District_Selangor.html
Dancing Fish,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2408797-Reviews-Dancing_Fish-Kuala_Lumpur_Wilayah_Persekutuan.html
The Uma Bali,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1796771-Reviews-The_Uma_Bali-Petaling_Jaya_Petaling_District_Selangor.html
Yeast,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3814445-Reviews-Yeast-Kuala_Lumpur_Wilayah_Persekutuan.html
The Ganga Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5993225-Reviews-The_Ganga_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
WTF - What Tasty Food,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3642726-Reviews-WTF_What_Tasty_Food-Kuala_Lumpur_Wilayah_Persekutuan.html
Dining In The Dark KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3677326-Reviews-Dining_In_The_Dark_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Mum's Place,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d5439258-Reviews-Mum_s_Place-Petaling_Jaya_Petaling_District_Selangor.html
Sagar Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2099349-Reviews-Sagar_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
DC Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7743946-Reviews-DC_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Ee Chinese Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d7929697-Reviews-Ee_Chinese_Cuisine-Petaling_Jaya_Petaling_District_Selangor.html
Tg's Nasi Kandar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3470466-Reviews-Tg_s_Nasi_Kandar-Kuala_Lumpur_Wilayah_Persekutuan.html
The Grand Getaway by Grand Hyatt Kuala Lumpur,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d22983303-Reviews-The_Grand_Getaway_by_Grand_Hyatt_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Saravana Bhavan,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d866844-Reviews-Saravana_Bhavan-Kuala_Lumpur_Wilayah_Persekutuan.html
Ah Sang Bak Kut Teh,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1063105-Reviews-Ah_Sang_Bak_Kut_Teh-Petaling_Jaya_Petaling_District_Selangor.html
Tut's Egyptian Eatery-1Utama,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d12513008-Reviews-Tut_s_Egyptian_Eatery_1Utama-Petaling_Jaya_Petaling_District_Selangor.html
Malai Thai Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14197079-Reviews-Malai_Thai_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Chez Gaston KL by Rendez-Vous,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6949146-Reviews-Chez_Gaston_KL_by_Rendez_Vous-Kuala_Lumpur_Wilayah_Persekutuan.html
The Daily Grind,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1059013-Reviews-The_Daily_Grind-Kuala_Lumpur_Wilayah_Persekutuan.html
WXYZ Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8686400-Reviews-WXYZ_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Quivo Pavilion,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7085237-Reviews-Quivo_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html
Chili's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d789394-Reviews-Chili_s-Kuala_Lumpur_Wilayah_Persekutuan.html
"Flock, W Kuala Lumpur",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15125499-Reviews-Flock_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
33 Blue Room,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d10594043-Reviews-33_Blue_Room-Petaling_Jaya_Petaling_District_Selangor.html
Fresca Mexican Kitchen & Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3326001-Reviews-Fresca_Mexican_Kitchen_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
"YEN, W Kuala Lumpur",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15360655-Reviews-YEN_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Madam Kwan’s,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1026425-Reviews-Madam_Kwan_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Absolute Thai,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4776705-Reviews-Absolute_Thai-Kuala_Lumpur_Wilayah_Persekutuan.html
Skillet KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3522178-Reviews-Skillet_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
WIP,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d809034-Reviews-WIP-Kuala_Lumpur_Wilayah_Persekutuan.html
Ichiro Sushi Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d8474777-Reviews-Ichiro_Sushi_Bar-Petaling_Jaya_Petaling_District_Selangor.html
Fresh Unique Seafood 23,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d1062359-Reviews-Fresh_Unique_Seafood_23-Petaling_Jaya_Petaling_District_Selangor.html
Brotzeit,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d2722190-Reviews-Brotzeit-Petaling_Jaya_Petaling_District_Selangor.html
Horizon Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14791132-Reviews-Horizon_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
Gravybaby Jalan P Ramlee,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14930177-Reviews-Gravybaby_Jalan_P_Ramlee-Kuala_Lumpur_Wilayah_Persekutuan.html
Carnaval Churrascaria,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d3317390-Reviews-Carnaval_Churrascaria-Petaling_Jaya_Petaling_District_Selangor.html
Sushi Zanmai,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1013949-Reviews-Sushi_Zanmai-Kuala_Lumpur_Wilayah_Persekutuan.html
The Beato Aged Steakhouse,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4268187-Reviews-The_Beato_Aged_Steakhouse-Kuala_Lumpur_Wilayah_Persekutuan.html
Busaba Thai,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d7855480-Reviews-Busaba_Thai-Petaling_Jaya_Petaling_District_Selangor.html
Annalakshmi,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1122368-Reviews-Annalakshmi-Kuala_Lumpur_Wilayah_Persekutuan.html
Grub,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d12972607-Reviews-Grub-Petaling_Jaya_Petaling_District_Selangor.html
Simple Life,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5985293-Reviews-Simple_Life-Kuala_Lumpur_Wilayah_Persekutuan.html
Dragon-I,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d5432299-Reviews-Dragon_I-Petaling_Jaya_Petaling_District_Selangor.html
The Locker & Loft,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d10069114-Reviews-The_Locker_Loft-Petaling_Jaya_Petaling_District_Selangor.html
Leaf & Co Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10876892-Reviews-Leaf_Co_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
